Instrument,ISIN,Mnemonic
SEB TRENDSYSTEM RENTEN I,LU0116292888,XGZD
DEKA-RENTEN:EURO 3-7CF B,LU0116762864,DKDU
UNIEURORENTA CORPOR.A,LU0117072461,UI3R
DKB EUROPA FDS  INH.TNL,LU0117117746,DKEA
DKB NORDAMERIKA  INH.TNL,LU0117117829,DKEY
DKB PHARMA FDS  INH.TNL,LU0117118041,DKEB
MERIDIO-GREEN BALAN.P CAP,LU0117185156,FJ7C
BL SIC.-GLOB.EQU. INH.B,LU0117287580,OG8S
VITRUVIUS-US EQU.B EUR,LU0117771807,Y9V5
VITRUVIUS-JAPAN B EUR,LU0117772284,Y9V4
JPM-TUR.EQU.JPMTUEQ ADEO,LU0117839455,JPJZ
JPM-GR.CHINA JPMGC ADDL,LU0117841782,JPJT
JPM-HONG KONG JPMHK ADDL,LU0117842087,JYJ3
JPM-SINGAPORE JPMS ADDL,LU0117842756,JPJ9
JPM-TAIWAN JPMT ADDL,LU0117843481,JYJ5
JPM-APAC I.JPMAPACI ADDL,LU0117844026,JPJ6
JPM-EOLND.EQ.JPMEE DAEO,LU0117858166,JP5R
JPM-EOP.EQ. JPMEE DAEO,LU0117858596,JR6M
JPM-EU.ST.GW.JPMESG DAEO,LU0117858679,JYJJ
JPM-EU.ST.VA.JPMESV DA,LU0117858752,JR6X
JPM-EO.SM.CAP JPMESC DAEO,LU0117859560,FH5D
JPM-GER.EQ.JPMGE D,LU0117860493,JYJK
JPM-CHINA JPMCHINA DADL,LU0117867159,JYJS
JPM-INDIA FD JPMI DADL,LU0117881739,JYJ4
JPM-EM.MK.EQ.JPMEME DADL,LU0117895366,J6G4
JPM-EMG EU.EQ.JPMEEE DAEO,LU0117895796,J6G3
JPM-LA.AM.EQ.JMPLAE DADL,LU0117896174,JPJ7
JPM-E.M.E.E JPMEMEE DADL,LU0117896257,JYJ1
MSI-EM.EUR.MID.EA.+AFR. A,LU0118140002,MSJ9
SEB CONCEPT BIOTECHNOLO.D,LU0118405827,XGZE
JPM-EOP.DYN.JPMED ADEO,LU0119062650,JPJC
JPM-EOP.DYN.JPMED DAEO,LU0119063039,JP5T
JPM-US VALUE FD A DIS USD,LU0119066131,JPJ1
JPM-US VALUE FD D ACC USD,LU0119066727,JPJ8
JPM-GBL DYN. JPMGD ADDL,LU0119067295,JPJU
JPM-EOP.EQ. JPMEE AADL,LU0119078227,JYJY
AMU.-EQ.AS.EX JAPAN AU(C),LU0119085271,GANB
FID.FDS-EU.LAR.COS A GL.,LU0119124278,FJRD
FID.FDS-EUR.D.G.A GL.,LU0119124781,FJ25
FID.FDS-EUR.D.G.E GL.,LU0119124864,FPGZ
AMU.-BOND GLOBAL AU C,LU0119133188,GAN8
NN(L)-INFORM.TECHN.PC,LU0119200128,XUMG
NN L)-ENERGY PCAP,LU0119201019,XUM4
NN L)-ENERGY PDIS,LU0119201282,IUJ2
NN(L)-PREST.+LUXE PCAP,LU0119214772,XUM2
NN(L)-GL.SUST.EQU. PCAP,LU0119216553,XUMB
NN(L)-GL.SUST.EQU. PDIS,LU0119216710,IEG8
NN(L)-GR.CHINA EQU. PCAP,LU0119216801,XUMD
PIONEER-EM.EUR.MED.A DL D,LU0119335056,X9I5
PIONEER-IT.EQ.NAM.A EO C,LU0119335304,XPAM
PIONEER-EM.EUR.MED.A EO C,LU0119336021,XPA
PIONEER-C.E.EQ.NAM.A DL D,LU0119364155,A4HC
PIONEER-CORE EU.EQ. AEOC,LU0119364239,XPAA
PIONEER-EM.M.E.NAM.A EO C,LU0119365988,XPA0
PIONEER-EU.RES.NAM.A EO C,LU0119366440,XPAB
PIONEER-TOP EU.NAM.A DL D,LU0119366796,A4HH
PIONEER-TOP EU.NAM.A EO C,LU0119366952,XPAT
PIONEER-US RES.NAM.A EO C,LU0119372174,XPA3
PIONEER-JAP.EQ.NAM.A EO C,LU0119372687,XPAG
PIONEER-AS.EX.J.EQ.A EO C,LU0119373065,XPAS
PIONEER-EO BD NAM.A EO C,LU0119391471,XPAC
PIONEER-EM.M.BD NAM.AEO C,LU0119402005,X9IR
PIONEER-US HGH YLD A EO C,LU0119402427,XPAU
PIONEER-USD S.T.NAM.AEO C,LU0119403581,XPA5
PIONEER-IT.EQ.NAM.C EO C,LU0119421302,XPAN
PIONEER-EM.EUR.MED.C EO C,LU0119421724,XPA7
PIONEER-C.E.EQ.NAM.C EO C,LU0119424405,X9IY
PIONEER-EM.M.E.NAM.C EO C,LU0119425048,X9IA
PIONEER-TOP EU.NAM.C EO C,LU0119426103,X9IX
PIONEER-US RES.NAM.C EO C,LU0119428653,X8LC
PIONEER-JAP.EQ.NAM.C EO C,LU0119429032,XPAR
PIONEER-C.E.EQ.NAM.I EO C,LU0119433067,X9I1
PIONEER-TOP EU.NAM.I EO C,LU0119433570,X9I2
INVESCO PAN EUR.STR.EQU.A,LU0119750205,IUGL
INVESCO PAN EUR.STR.EQU.C,LU0119753134,IUGY
OP MEDICAL BIOHLTH-TRD.EO,LU0119891520,MFD
SEB HIGHYIELD D EUR,LU0120526693,XZGE
VONTOBEL-EURO MONEY B-EO,LU0120689640,UEUZ
VONTOBEL-EUR.M.+S.C. A-EO,LU0120692511,UEUM
VONTOBEL-EUR.M.+S.C. B-EO,LU0120694483,UEUQ
VONTOBEL-SWISS MONEY B-SF,LU0120694996,WYD8
NN(L)-GL.SUST.EQU. XCAP,LU0121204431,IEGA
JSS M.L.-N.ENERG.EO T,LU0121747215,P6Q1
HAIG MB MAX VALUE B,LU0121803570,RIXD
WALS.PTF.-AKTIEN USA INH,LU0121930688,WYU2
SEB FUND 1-GL.CHA./RISK C,LU0122113094,ZMC4
CARNEGIE FD-WORLDW.ETH.A1,LU0122292328,CFE5
BGF-WORLD ENERGY F.NAM.A2,LU0122376428,ERDN
BGF-WLD HEALTHSC.F.NAM.A2,LU0122379950,ERDU
JB MULTISTK-EA.EU.F.A,LU0122455131,JI9M
JB MULTISTK-EA.EU.F.B,LU0122455214,JI9L
F.TEM.INV-F.EU.GWTH A ACC,LU0122612848,TEP9
F.TEM.INV.-FR.US SM.N ACC,LU0122613143,XQ1B
F.TEM.INV.-FR.US SM.A ACC,LU0122613226,XQ19
F.TEM.INV-F.BIOT.D.N ACC,LU0122613499,TEPE
F.TEM.INV-EAST.EUR. N ACC,LU0122613903,TEPQ
F.TEM.INV-T.GWTH N ACC.,LU0122614380,TES
GSF-ASIA EQU.PTF A USD,LU0122971814,GSWE
G.SACHS FDS-EUR.COR.EUR A,LU0122972895,GSW3
GS FDS-EUR.EQU.PARTN.A EO,LU0122973430,GSW2
GSF-JAPAN EQU.PTF A SN.DL,LU0122976888,GSWH
GS FD-US FOC.G.E.P.A USD,LU0122978157,GSW0
INVESCO ENERGY FUND A,LU0123357419,IUGN
SAUREN GLOBAL CHAMPIONS A,LU0123374935,GGW4
DANSKE INV.-EUROPE SM.CAP,LU0123485178,D5F3
FPM-STOCKP.GERM.ALL CAP C,LU0124167924,FP7A
BGF-NEW ENERGY FD NAM. A2,LU0124384867,ERDK
DEKASTRUKTUR: 3 WACHSTUM,LU0124427344,DEDP
DEKASTRUKTUR: 3 CHANCE,LU0124427773,DEDQ
DEKASTRUKTUR: 3 CHANCEPL.,LU0124427930,DEDR
AB FCP I-GLOBAL VALUE A,LU0124673897,XAYL
AB FCPI-EUROP.EQ.PTF. A,LU0124675678,XAYF
AB FCP I-US THEM.RES. A,LU0124676726,XAYH
AXA WLD-FR.EUR.OPP.A A,LU0125727437,FH4T
AXA WLD-FR.EUR.OPP.A T,LU0125727601,FH4Q
AXA WLD-FR.EU.SM.C.A A,LU0125731546,FH4S
AXA WLD-FR.EU.SM.C.A T,LU0125741180,FH4R
AXA WLD-FR.EU.SM.C.F A,LU0125743046,XRU6
AXA WLD-FR.EU.SM.C.F T,LU0125743475,XRU7
MFS M.-EUROP.SM.COS A1 EO,LU0125944966,XG4A
MFS M.-EURO.CORE EQ.A1 EO,LU0125946151,FHTC
MFS M.-EUROP.VALUE A1 EO,LU0125951151,XG41
MFS M.-U.S.VALUE FD A1 DL,LU0125979160,XG42
UNIVALUEFONDS: EUROPA A,LU0126314995,UIV2
UNIVALUEFONDS: EUROPA A N,LU0126315372,UIV1
UNIVALUEFONDS: GLOBAL A,LU0126315885,UNOJ
UNIVALUEFONDS: GLOBAL A N,LU0126316180,UIVF
M + W INVEST: M + W CAP.,LU0126525004,LR1S
BALOISE FDI-BFI ACT.SF  R,LU0127027448,C8HC
NN(L)-EO HGH DIV. PCAP,LU0127786431,XUM1
PICTET-EUR COR.BDS P,LU0128470845,PIMD
PICTET-EUR COR.BDS P DY,LU0128471819,PIME
PICTET-DL GOV.BDS P,LU0128488383,PIMK
PICTET-EUR BONDS P,LU0128490280,PJA
PICTET-EUR BONDS P DY,LU0128490793,PIMC
PICT.-SHORT-TERM MM EUR P,LU0128494191,PIM
PICT.-SHORT-TERM MM USD P,LU0128496485,PIMJ
F.TEM.INV-T.GL. A ACC.EO,LU0128520375,TESM
F.TEM.INV-EUROLND N ACC.,LU0128521001,TES6
F.TEM.INV-T.AS.GWTH A ACC,LU0128522157,TEPR
F.TEM.I.-T.EM.M. A ACC,LU0128522744,TEP3
F.TEM.INV-T.GLOB. A ACC,LU0128525929,TEPU
F.TEM.INV-GL.SM.COS A ACC,LU0128526141,XQ1A
F.TEM.INV-LAT.AM. A ACC.,LU0128526570,TESQ
F.TEM.INV-F.MUT.EU.N A.DL,LU0128530259,TESC
DKB ASIEN FDS  INH.TNL,LU0128943502,DKE4
LUPUS ALP.-SM.EO CH.INH.A,LU0129232442,LPJB
LUPUS ALP.-SM.EO CH.INH.C,LU0129232525,LPJA
LUPUS ALP.-SM.GER.CHAMP.A,LU0129233093,LPJD
CSIF11-CSL GL VA.EQ.B EO,LU0129338272,YCFZ
JPM-EOP.EQ. JPMEE C,LU0129441100,JP5V
JPM-EU.ST.VA.JPMESV CAEO,LU0129445192,JP5W
JPM-EOP.DYN.JPMED C,LU0129450945,JP5Y
VONTOBEL-GBL EQU.INC. BDL,LU0129603360,WYD3
VITRUVIUS-SWISS EQ.B CHF,LU0129839725,Y9V6
VITRUVIUS-SWISS EQ.B EUR,LU0129839998,Y9V3
NATIXIS-H.A.GL EQ.RA,LU0130103400,ID32
CSIF5-CS BIOTECH INN.EQ.B,LU0130190969,CR4A
DEUTSCHE ESG EUROP.EQU.T,LU0130393993,PBAE
PICTET-EMERG.MKTS P DL,LU0130729220,PBF3
PICTET-EUROPE IND.NAM.PEO,LU0130731390,PBFD
PICTET-EUROPE IND.NAM.REO,LU0130731713,PIMR
PICTET-EUR.EQ.SEL.NAM.PEO,LU0130731986,PBF8
PICTET-SM.CAP EUR.NAM.PEO,LU0130732364,PBFA
PICTET-USA INDEX P DL,LU0130732877,PBFM
PICTET-USA INDEX R DL,LU0130733172,PIMM
UBS(L)EQ.-G.S.INN.EO PACC,LU0130799603,UBFZ
FTIF-F.EURO HGH YLD AA EO,LU0131126574,TEPI
NORAMCO QUALITY FDS-EUR.,LU0131669946,MJ2
PICTET-SM.CAP EUR.NAM.IEO,LU0131724808,PBFJ
PICTET-SM.CAP EUR.NAM.REO,LU0131725367,PJAW
PICTET-EMERG.MKTS I DL,LU0131725870,PBF2
BNPP L1-DIV.WLD.BAL.CL.C.,LU0132151118,FLP5
BNPP L1-DIV.WLD.STB.CL.C.,LU0132151621,FLP6
BNPP L1-DIV.WLD GR.CL.C.,LU0132152439,FLPR
PIONEER-US RES.NAM.A DL C,LU0132182006,P5U3
PIONEER-EU.RES.NAM.A DL C,LU0132185280,A4HE
PIONEER-TOP EU.NAM.A DL C,LU0132195834,A4HG
PIONEER-TOP EU.NAM.C DL C,LU0132197459,XPAI
PIONEER-JAP.EQ.NAM.A DL C,LU0132212605,XPA2
FID.FDS-US H.YI.A USD,LU0132282301,FJ2W
FID.FDS-US H.YI.A EUR,LU0132385880,FJ24
ABERD.GL-EME.MKTS EQ.A-2,LU0132412106,ABD4
ABERD.GL-SE.EM.M.BD A-2,LU0132414144,ABD6
MSI-EURO CORP.BD NAM.A,LU0132601682,MSJK
F+C FD-HVB STIFTUNGSFDS,LU0132935627,FBGA
MULTIP.-RO.SUST.WAT.BEO,LU0133061175,OZWA
OYSTER-EUR.OPP.N EO PF,LU0133194562,OFDR
GSF-ASIA EQU.PTF E EUR,LU0133264282,GSWG
GSF-JAPAN EQU.E ACC.SN.EO,LU0133264795,GSWD
CANDR.EQ.L-EM.MKTS INH.N,LU0133352731,DX1E
DWS GLOBAL VALUE INH.LD,LU0133414606,FGMD
PIONEER-EO BD NAM.C EO D,LU0133584788,A4HQ
PIONEER-EM.M.BD NAM.AEO D,LU0133598812,X9IZ
PIONEER-US MID NAM.A EO C,LU0133607589,X8LK
PIONEER-C.E.EQ.NAM.A DL C,LU0133630995,A4H5
PIONEER-C.E.EQ.NAM.C DL C,LU0133631530,XPAF
PIONEER-US PIO.NAM.A DL A,LU0133642578,X9IV
PIONEER-US PIO.NAM.A EO C,LU0133643469,X9IC
PIONEER-CHINA EQ.A DL C,LU0133656362,X9IT
PIONEER-CHINA EQ.A EO C,LU0133656446,X9ID
PIONEER-CHINA EQ.C EO C,LU0133657683,A4H6
PIONEER-CHINA EQ.I DL C,LU0133658228,X9IM
PIONEER-E.C.BD NAM.A EO C,LU0133659622,XPAK
DEKA-CONVERG.RENTEN CF,LU0133666163,4N34
DEKA-CONVERG.RENTEN TF,LU0133666247,FKQ3
DEKA-CONVERG.AKTIEN CF,LU0133666676,DED3
DEKA-CONVERG.AKTIEN TF,LU0133666759,DED2
SISF ASI.BD AB.RE.A1 ACC,LU0133703115,ZJP8
SISF EURO EQUITY A1 ACC,LU0133706308,SRVV
SISF EUROP.LAR.CAP A1 ACC,LU0133709740,XR5Q
PICTET-EUR HGH YLD P,LU0133807163,PIMH
PICTET-EUR HGH YLD P DY,LU0133807593,PIMI
BANKH.NEELMEYER AKTIENST.,LU0134853133,C9LC
JB MULTISTK-US VAL.STK B,LU0135056835,XG33
HEN.GAR.-CONT.EURO.B EO A,LU0135928298,FGVB
BL FD SELECTION-EQUITIES,LU0135980968,FA7B
BL FD SELECTION-50-100 B,LU0135981693,FA7A
VALUEINVEST LUX-GLOBAL C1,LU0135991064,VL3A
VALUEINVEST LUX-JAPAN C1,LU0135991148,VL3B
SISF EURO LIQUIDITY A ACC,LU0136043394,ZPJP
SISF EURO LIQUIDITY B ACC,LU0136043550,ZPJQ
SISF EURO LIQUIDITY C ACC,LU0136043634,ZPJR
SWISSCANTO LU PTF-GIB. AA,LU0136171393,SYO5
SWISSCANTO LU PTF-GIE. AT,LU0136171559,SYO7
UBS ETF-EURO STOXX 50 A-D,LU0136234068,UIM1
UBS-ETF-MSCI USA INH.A,LU0136234654,UIM6
UBS-ETF-MSCI JAPAN INH.A,LU0136240974,UIM5
UBS-ETF FTSE 100 INH.A,LU0136242590,UIM3
SAUREN GBL STABLE GWTH CA,LU0136335097,GGW1
ETHNA-AKTIV A,LU0136412771,LR1P
STARCAPITAL-PRIAMOS A EUR,LU0137341359,SBQ4
STARCAPITAL-ARGOS A EUR,LU0137341789,SBQ1
F.TEM.INV-F.EU.SM-MID C.A,LU0138075311,TES4
VONTOBEL-NEW POWER A-EO,LU0138258404,UEU4
VONTOBEL-NEW POWER B-EO,LU0138259048,UEU5
SPARINVEST-GLOB.VAL.EO R,LU0138501191,BER1
HEND.HORIZ.-US GWTH A2ACC,LU0138820294,HZ5K
HEND.HOR.-PAN EUR.E.A2 A,LU0138821268,HZ5B
FIDEL.FDS-GRWTH+INC.NAM.A,LU0138981039,FJ26
DEKA-CORPOR.BD HI.Y.EO CF,LU0139115926,DEDS
F.TEM.INV.-US EQ.A AAC EO,LU0139291818,TESN
F.TEM.INV-T.EUROP.A AC.EO,LU0139292543,TEP2
F.TEM.INV-T.EUROP.N AC.EO,LU0139292972,TES2
DB OPPORTUNITY  INH.,LU0139429517,FGM4
SPARINVEST-PROCEDO EO R,LU0139792278,BER3
DEKA-EUROFLEX PLUS TF,LU0140354605,DKDN
HAIG RETURN-GLOBAL INH.P,LU0140354944,HLXS
F.TEM.INV-MUT.BE.A ACC.EO,LU0140362707,TEPG
F.TEM.INV-MUT.EU.A ACC.EO,LU0140363002,TEPZ
F.TEM.INV-MUT.EU.N ACC.EO,LU0140363267,TEP8
F.TEM.INV-F.TECH.N ACC.EO,LU0140363697,YF5J
F.TEM.INV-GL.BAL.N ACC.EO,LU0140420323,YF5K
SISF GREATER CHINA A ACC,LU0140636845,ZJP4
SISF GREATER CHINA B ACC,LU0140636928,SRVF
SISF GREATER CHINA C ACC,LU0140637140,SRVE
SWISSC.(L)B.F.-EUR AA,LU0141248459,FHKA
SWISSC.(L)B.F.-USD AA,LU0141248962,FHKD
CHART HIGH VAL./YLD INH.B,LU0141738038,DXQC
THR.L-GL.ENERGY NA.EP.AU,LU0143868585,FV2E
DWS VOLA STRATEGY  INH.,LU0144136180,FGMP
PICTET-EUR.SUS.EQ.NAM.PEO,LU0144509717,PBFC
F.TEM.INV-GL.SM-MID A ACC,LU0144644332,FT9J
CANDR.BDS-EUR HY INH.N,LU0144751095,XUO9
CSIF11-CSL US.G.O.E.BH EO,LU0145374574,YCFU
DE.INV.I-TOP EUROPE LC,LU0145634076,DWS8
DE.INV.I-TOP EUROPE LD,LU0145634662,DWS6
DE.INV.I-TOP EUROPE NC,LU0145635123,DWS5
DE.INV.I-TOP EUROL.LC,LU0145644893,DWS9
DE.INV.I-TOP EUROL.LD,LU0145647052,DWS1
DE.INV.I-TOP EUROL.NC,LU0145647300,DWS2
DE.INV.I-TOP EUROL.FC,LU0145647722,DWS3
DE.INV.I-TOP ASIA LC,LU0145648290,DWSC
DE.INV.I-TOP ASIA LD,LU0145648456,DWSA
DE.INV.I-TOP ASIA NC,LU0145648886,FGMM
DE.INV.I-EURO-GOV BDS LC,LU0145652052,FGMF
DE.INV.I-EURO-GOV BDS LD,LU0145652300,FGMG
DE.INV.I-EURO-GOV BDS NC,LU0145652649,FKNR
DE.INV.I-EURO-GOV BDS FC,LU0145654009,FKN4
DE.INV.I-EO-BDS(SHT) LC,LU0145655824,FGMJ
DE.INV.I-EO-BDS(SHT) LD,LU0145656475,FGMK
DE.INV.I-EO-BDS(SHT) NC,LU0145656715,FGMY
DEUT.INST.-USD MON.PL.IN,LU0146220040,FGMW
NN(L)-GL.HGH DIV.PCEO,LU0146257711,IEGC
NN(L)-GL.HGH DIV. DEO,LU0146258529,IEGD
SMART-INVEST HELIOS AR B,LU0146463616,C9DC
BERENB.AKTIEN-QUAL.+VALUE,LU0146485932,BE35
DWS RUSSIA  INH.,LU0146864797,DWWM
UBS-ETF-MSCI EMU A,LU0147308422,UIM4
N.-F.-NESTOR AUSTRA.FDS B,LU0147784119,GQHG
N.-F.-NESTOR GOLD FONDS B,LU0147784465,GQHH
PICTET-PAC.EX JAP.NAM.PDL,LU0148538712,PBFG
DEUTSCHE MULTI OPPORTU.FC,LU0148742835,FKNU
VITRUVIUS-EM.M.EQ.B USD,LU0148751588,Y9V2
VITRUVIUS-EM.M.EQ.B EUR,LU0148753444,Y9V7
PIONEER INV.TOT.RET.A DA,LU0149168907,AK8P
INVESCO US STRUCTURED E.A,LU0149503202,IUGJ
SISF HK EQUITY A ACC,LU0149534421,ZPJ4
HSBC GIF-EUROP.EQ.A D,LU0149719808,JHSD
HSBC GIF-HK EQU. A D,LU0149721374,JSGQ
HSBC GIF-E.SC.I.JAP.E.AD,LU0149724121,JM5E
HSBC GIF-E.SC.I.US.E.A D,LU0149725797,JSGR
HSBC GIF-USD BD A D,LU0149734781,JSGT
ME FONDS-SPECIAL VALUES A,LU0150613833,WZF6
HEN.GAR.-CONT.EURO.R DL A,LU0150924321,FGV8
UBS(L)BD-S.T.EO CORP PA,LU0151774626,FGZA
MAINFIRST-CLASSIC STK. A,LU0152754726,MAM2
MAINFIRST-CLASSIC STK. C,LU0152755707,MAM7
FTIF-F.GL.GRWTH+VAL.AA DL,LU0152903588,XQ14
F.TEM.INV-AS.GWTH N ACC.,LU0152928064,TES9
F.TEM.INV-T.GL.BD.A AC.EO,LU0152980495,TEPJ
F.TEM.INV-T.GL.BD A MD.EO,LU0152981543,FT9B
FTIF-F.JAPAN N ACC EO,LU0152983168,TES8
F.TEM.INV-T.E.MKT A QD.EO,LU0152984307,FT9A
F+C PTFS FD-F+C US SM.C.A,LU0153358154,GQCQ
F+C PTFS FD-EUR.HI.YI.B.A,LU0153358402,GQCA
F+C PTFS FD-EUROP.EQU. A,LU0153358667,GQCC
F+C PTFS FD-JAP.EQU. A,LU0153359129,GQC
F+C PTFS FD-BMO REME A,LU0153359632,GQCJ
VONTOBEL-EUR.EQU.A-EO,LU0153585053,WYD7
VONTOBEL-EUR.EQU.B-EO,LU0153585137,WYD5
VONTOBEL-EO CO.BD M.Y.AEO,LU0153585566,UEUJ
VONTOBEL-EO CO.BD M.Y.BEO,LU0153585723,UEUA
UBS(L)KEY-EO EQ.EO P-ACC,LU0153925689,FH8B
BGF-EUR.SPEC.SIT.A2,LU0154234636,ERDH
BGF-US FLEX. EQ. NAM.A2,LU0154236417,MI92
BGF-USD SHO.DUR.BD N.D.A2,LU0154237225,MI95
PARVEST-EQ.USA M.C.CAP.CL,LU0154245756,WYJZ
SAPHIR GL-BALANCED B,LU0154397185,C9DH
SAPHIR GL-VALUE B,LU0154397698,C9DE
SAPHIR GL-CHANCE B,LU0154399124,C9DB
HSBC TRINKAUS AKT.STR.EU.,LU0154656895,TXIK
PICTET-AS.EQ.(EX JP)PDL,LU0155303323,PBF5
CSIF14-CSL C.S.D.EO B.B,LU0155951089,FGOB
HSBC GIF-UK EQU. A D,LU0156331158,JHS4
TENARIS S.A. NA      DL 1,LU0156801721,TW11
CIF-C.G.EO GWTH+INC.B EO,LU0157028266,CN53
FID.FDS-GL.FOCUS A DL GL.,LU0157215616,IPGR
FID.FDS-GL FOCUS A EO GL.,LU0157922724,FJRN
GL FAMILY STRAT.I-VALUE T,LU0158135631,LR1D
AGIF-GL.SUSTAIN.AX EUR,LU0158827195,UQ2D
AGIF-GL.SUSTAIN.A DL,LU0158827948,UQ2K
BNPP L1-EQ.EUROPE NAM.I,LU0158838390,XU64
ACATIS CH.SEL.-AC.AK.DTSC,LU0158903558,LXF5
JSS IF-JSS SUST.BD EUR PD,LU0158938935,XP61
JB MULTIBD-GL.H.YLD BD B,LU0159158970,XG3D
JB MULTIBD-CRE.OPPO.BD A,LU0159196392,JB4C
JB MULTIBD-CRE.OPPO.BD B,LU0159196806,JB4D
JPM FDS-EU.SEL.EQ.D AC.EO,LU0159405223,JP51
DJE-EUROPA INH.PA(EO),LU0159548683,LU9A
DJE-ALPHA GL.INH.PA (EO),LU0159549145,LU9D
DJE-RENTEN GL.INH.PA(EO),LU0159549574,LU95
DJE-INTERCASH INH.PA(EO),LU0159549814,LU9G
DJE-GOLD+RESS.INH.PA(EO),LU0159550077,LU98
DJE-DIV.+SUBS.INH P(EO),LU0159550150,LU9B
DJE-EUROPA INH.I (EO),LU0159550408,LU9N
DJE-DIV.+SUBS.INH.I(EO),LU0159551042,LU9C
SCHRODER ISF.-EU.VA. AACC,LU0161305163,HV8D
SCHRODER ISF.-EU.VA. BACC,LU0161305593,SRV2
SCHRODER ISF.-EU.VA. CACC,LU0161305759,HV8T
FID.FDS-JAP.ADVANT. A YN,LU0161332480,XC4D
SWISSCANTO LU PTF-GIE. AA,LU0161535835,SYO4
SGKB L.-DANUBE TIGER EO B,LU0161742381,3PT3
UBS L KEY-GL.EQ.EO P-ACC,LU0161942635,U6RA
PIONEER-STR.INC.NAMA EO C,LU0162480882,X8LL
BGF-EO-MARKETS NAM.A4,LU0162689763,ERDM
BGF-EUROPEAN VALUE NAM.A4,LU0162690340,MI9B
BGF-US BASIC VAL.NAM.A4,LU0162691827,H2ZC
FISCH-F.CB GL DEFENS.AE,LU0162829799,E4PA
CANDR.Q.EQ.USA.C.CAP.DL,LU0163125924,DXRA
SAUREN GLOBAL DEFENSIV A,LU0163675910,GGW3
AXA WLD-EO CR.PL.N.A T,LU0164100710,FH4G
AXA WLD-EO CR.PL.N.A A,LU0164100801,FH4H
CARMIGNAC PO.-COMMOD.AEOA,LU0164455502,C5Q2
HSBC GIF-CHIN.EQU.INH.A C,LU0164865239,JM5U
HSBC GIF-GL E.M.E.A C,LU0164872284,JM53
HSBC GIF-HK EQU.A C,LU0164880469,JM58
HSBC GIF-IND.EQU. A C,LU0164881194,JM59
HSBC GIF-E.SC.I.JAP.E.AC,LU0164882085,JM5B
HSBC GIF-E.SC.I.US.E.A C,LU0164902453,JHSZ
HSBC GIF-EUROP.EQ.A C,LU0164906959,JHSU
HSBC GIF-UK EQU. A C,LU0164913815,JHS3
HSBC GIF-A.JP EQ.S.C.A C,LU0164939612,JM5P
HSBC GIF-E.SC.I.GL E.A C,LU0164941436,JM54
HSBC GIF-EOL.EQ.S.E.E.A C,LU0165073775,JSGJ
HSBC GIF-EOL.EQ.S.E.E.A.D,LU0165073858,JHS7
HSBC GIF-EUROLAND EQ.A C,LU0165074666,JM5F
HSBC GIF-EUROLAND EQ.A D,LU0165074740,JSGK
HSBC GIF-EUROLAND EQ.I C,LU0165074823,XU8V
HSBC GIF-USD BD A C,LU0165076018,JHSK
HSBC GIF-EUROLAND EQ.E C,LU0165081950,XU8W
HSBC GIF-EO CRED.BD A C,LU0165124784,JHSR
HSBC GIF-EO CRED.BD A D,LU0165124867,JSGM
HSBC GIF-EURO HGH YLD A C,LU0165128348,JHSQ
HSBC GIF-EURO HGH YLD A D,LU0165128421,JSGN
HSBC GIF-EURO BOND A C,LU0165129312,JSGP
HSBC GIF-EURO BOND A D,LU0165129403,JHS8
HSBC GIF-EO RES. A D,LU0165130591,JM5Z
HSBC GIF-EO RES. A C,LU0165130674,JM5Y
LUXTOPIC-AKT.EUROPA INH.A,LU0165251116,LU91
HSBC GIF-ASIA E.J.A C,LU0165289439,JSGB
AMU.-EQ.GREAT.CHINA AU(C),LU0165623512,GANH
HSBC GIF-E.SC.I.US.E.AH C,LU0166156926,JHSY
INV.FDS-I.GL CONS.FD EO A,LU0166421692,IUGK
PICTET-EU.S.M.T.B. P,LU0167158327,PIMA
PICTET-EU.S.M.T.B. P DY,LU0167159309,PIMB
OYSTER-EUROP.CORP.BDS CEO,LU0167813129,OFDD
UNIEUROKAPITAL CORP. A,LU0168092178,UI3I
UNIEUROKAPITAL CORP.NET A,LU0168093226,UI3J
CVT EUROPA ABSOLUTE SEL.P,LU0168270881,AFEE
JPM-GLOBAL FOCUS A D.EO,LU0168341575,JYJR
PICTET-GR.CHINA NAM.P DL,LU0168449691,PBFF
JPM-ASIA EQU.JPMAE AADL,LU0169518387,JP5M
JPM FDS-EU.STR.DIV.INH.A,LU0169527297,JR6C
SEB TRENDSYSTEM RENTEN II,LU0170040694,XZGD
F.TEM.INV.FD-F.EUR.T.R.AA,LU0170473374,TEPK
F.TEM.INV.-F.EUR.T.R.A MD,LU0170473531,XQ1M
F.TEM.INV.FD-GL.BD(EO)AAC,LU0170474422,TEPL
F.TEM.I.-T.GL.BD EO A YD,LU0170474935,TEPM
F.TEM.INV.FD-T.GL.T.R.AAC,LU0170475312,FT9T
F.TEM.INV.-T.GL.T.R.A MD.,LU0170475585,TEP0
BGF-ASIAN DRAGON A2 EO,LU0171269466,ERD9
BGF-EMERG.MKTS N.A2 EO,LU0171275786,ERDY
BGF-EUR.SPEC.SIT.A2 DL,LU0171276677,H2ZN
BGF-EUROPEAN FD N.A2 DL,LU0171280430,H2ZF
BGF-EUROPEAN VALUE A2 DL,LU0171281750,XMHG
BGF-GLOB.ALLOC.NAM.A2 EO,LU0171283459,H2Z3
